dataset,method,method_label,epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,no_improve
nmnist,event_frame,Event Frame,1,0.236869,0.925352,0.143255,0.954,0.954,
nmnist,event_frame,Event Frame,2,0.110779,0.96437,0.130813,0.953167,0.954,
nmnist,event_frame,Event Frame,3,0.080611,0.974333,0.097688,0.970833,0.970833,
nmnist,event_frame,Event Frame,4,0.062251,0.978759,0.086653,0.971667,0.971667,
nmnist,event_frame,Event Frame,5,0.050206,0.983315,0.088416,0.974,0.974,
nmnist,event_frame,Event Frame,6,0.04295,0.98563,0.091155,0.973167,0.974,
nmnist,event_frame,Event Frame,7,0.033809,0.988796,0.074676,0.9765,0.9765,
nmnist,event_frame,Event Frame,8,0.027984,0.990833,0.091744,0.975,0.9765,
nmnist,event_frame,Event Frame,9,0.027497,0.991204,0.08343,0.976,0.9765,
nmnist,event_frame,Event Frame,10,0.023808,0.992296,0.059246,0.9825,0.9825,
nmnist,event_frame,Event Frame,11,0.019651,0.99363,0.080173,0.976833,0.9825,
nmnist,event_frame,Event Frame,12,0.020941,0.993167,0.106326,0.970333,0.9825,
nmnist,event_frame,Event Frame,13,0.019108,0.993926,0.071853,0.98,0.9825,
nmnist,event_frame,Event Frame,14,0.01615,0.995074,0.099745,0.972667,0.9825,
nmnist,event_frame,Event Frame,15,0.016151,0.995148,0.092274,0.976167,0.9825,
nmnist,event_frame,Event Frame,16,0.014461,0.995648,0.07095,0.980167,0.9825,
nmnist,event_frame,Event Frame,17,0.015394,0.995241,0.087374,0.976167,0.9825,
nmnist,event_frame,Event Frame,18,0.012759,0.996241,0.06555,0.981167,0.9825,
nmnist,event_frame,Event Frame,19,0.012831,0.996222,0.06106,0.983167,0.983167,
nmnist,event_frame,Event Frame,20,0.011518,0.996037,0.084047,0.977,0.983167,
nmnist,event_frame,Event Frame,21,0.012528,0.996537,0.079905,0.9795,0.983167,
nmnist,event_frame,Event Frame,22,0.010957,0.996611,0.083666,0.978333,0.983167,
nmnist,event_frame,Event Frame,23,0.009763,0.997111,0.083279,0.98,0.983167,
nmnist,event_frame,Event Frame,24,0.009804,0.997259,0.083553,0.978167,0.983167,
nmnist,event_frame,Event Frame,25,0.008649,0.99737,0.119384,0.971167,0.983167,
nmnist,event_frame,Event Frame,26,0.010571,0.997,0.072827,0.979333,0.983167,
nmnist,event_frame,Event Frame,27,0.008791,0.997444,0.075776,0.981333,0.983167,
nmnist,event_frame,Event Frame,28,0.008629,0.997259,0.081869,0.977667,0.983167,
nmnist,event_frame,Event Frame,29,0.008054,0.997944,0.059771,0.985,0.985,
nmnist,event_frame,Event Frame,30,0.007663,0.99763,0.066495,0.9835,0.985,
nmnist,event_frame,Event Frame,31,0.006312,0.998222,0.072304,0.980833,0.985,
nmnist,event_frame,Event Frame,32,0.007246,0.99787,0.078795,0.979,0.985,
nmnist,event_frame,Event Frame,33,0.005997,0.998444,0.068564,0.981,0.985,
nmnist,event_frame,Event Frame,34,0.006887,0.997926,0.071706,0.9815,0.985,
nmnist,event_frame,Event Frame,35,0.0059,0.998463,0.063532,0.984333,0.985,
nmnist,event_frame,Event Frame,36,0.006996,0.997926,0.070525,0.981167,0.985,
nmnist,event_frame,Event Frame,37,0.006038,0.998167,0.078192,0.980667,0.985,
nmnist,event_frame,Event Frame,38,0.005857,0.998241,0.064537,0.984167,0.985,
nmnist,event_frame,Event Frame,39,0.004083,0.999019,0.068578,0.9835,0.985,
nmnist,binary_event_image,Binary Event Image,1,0.366121,0.878074,0.22662,0.922667,0.922667,
nmnist,binary_event_image,Binary Event Image,2,0.194205,0.934056,0.174347,0.941667,0.941667,
nmnist,binary_event_image,Binary Event Image,3,0.143277,0.950833,0.17745,0.9445,0.9445,
nmnist,binary_event_image,Binary Event Image,4,0.111274,0.961315,0.18315,0.938333,0.9445,
nmnist,binary_event_image,Binary Event Image,5,0.089541,0.969019,0.152044,0.9515,0.9515,
nmnist,binary_event_image,Binary Event Image,6,0.071398,0.975648,0.168207,0.949833,0.9515,
nmnist,binary_event_image,Binary Event Image,7,0.054584,0.981241,0.224463,0.9395,0.9515,
nmnist,binary_event_image,Binary Event Image,8,0.045617,0.984685,0.204387,0.9395,0.9515,
nmnist,binary_event_image,Binary Event Image,9,0.042553,0.985278,0.204627,0.944333,0.9515,
nmnist,binary_event_image,Binary Event Image,10,0.03363,0.988648,0.183606,0.952667,0.952667,
nmnist,binary_event_image,Binary Event Image,11,0.02939,0.990259,0.220464,0.945333,0.952667,
nmnist,binary_event_image,Binary Event Image,12,0.030382,0.98987,0.198236,0.947167,0.952667,
nmnist,binary_event_image,Binary Event Image,13,0.026618,0.991241,0.191071,0.949,0.952667,
nmnist,binary_event_image,Binary Event Image,14,0.023963,0.991963,0.18769,0.951333,0.952667,
nmnist,binary_event_image,Binary Event Image,15,0.022665,0.992556,0.193688,0.955167,0.955167,
nmnist,binary_event_image,Binary Event Image,16,0.020786,0.993148,0.181995,0.9565,0.9565,
nmnist,binary_event_image,Binary Event Image,17,0.019719,0.994259,0.204041,0.952333,0.9565,
nmnist,binary_event_image,Binary Event Image,18,0.021564,0.993037,0.194895,0.95,0.9565,
nmnist,binary_event_image,Binary Event Image,19,0.017038,0.994574,0.214764,0.949167,0.9565,
nmnist,binary_event_image,Binary Event Image,20,0.015574,0.995333,0.204066,0.952333,0.9565,
nmnist,binary_event_image,Binary Event Image,21,0.017133,0.994648,0.20381,0.9545,0.9565,
nmnist,binary_event_image,Binary Event Image,22,0.016534,0.994778,0.199221,0.952667,0.9565,
nmnist,binary_event_image,Binary Event Image,23,0.015696,0.995093,0.251793,0.943833,0.9565,
nmnist,binary_event_image,Binary Event Image,24,0.01326,0.995852,0.239956,0.9475,0.9565,
nmnist,binary_event_image,Binary Event Image,25,0.013994,0.995944,0.232073,0.945167,0.9565,
nmnist,binary_event_image,Binary Event Image,26,0.012903,0.996074,0.233078,0.948167,0.9565,
nmnist,timestamp_image,Timestamp Image,1,0.213044,0.934241,0.139381,0.957,0.957,
nmnist,timestamp_image,Timestamp Image,2,0.086639,0.972741,0.102515,0.964167,0.964167,
nmnist,timestamp_image,Timestamp Image,3,0.061034,0.980611,0.067551,0.978667,0.978667,
nmnist,timestamp_image,Timestamp Image,4,0.045795,0.985241,0.08873,0.972667,0.978667,
nmnist,timestamp_image,Timestamp Image,5,0.03661,0.988093,0.065926,0.979167,0.979167,
nmnist,timestamp_image,Timestamp Image,6,0.030039,0.990444,0.051529,0.984833,0.984833,
nmnist,timestamp_image,Timestamp Image,7,0.024051,0.992574,0.054932,0.983167,0.984833,
nmnist,timestamp_image,Timestamp Image,8,0.02056,0.993278,0.101504,0.972167,0.984833,
nmnist,timestamp_image,Timestamp Image,9,0.01941,0.994019,0.056397,0.983333,0.984833,
nmnist,timestamp_image,Timestamp Image,10,0.016441,0.994963,0.053618,0.9835,0.984833,
nmnist,timestamp_image,Timestamp Image,11,0.016067,0.994852,0.084079,0.9785,0.984833,
nmnist,timestamp_image,Timestamp Image,12,0.014283,0.995741,0.062748,0.981667,0.984833,
nmnist,timestamp_image,Timestamp Image,13,0.013674,0.995444,0.068536,0.982333,0.984833,
nmnist,timestamp_image,Timestamp Image,14,0.012392,0.996463,0.070282,0.982833,0.984833,
nmnist,timestamp_image,Timestamp Image,15,0.010819,0.996611,0.065525,0.983167,0.984833,
nmnist,timestamp_image,Timestamp Image,16,0.01197,0.996519,0.06133,0.982167,0.984833,
nmnist,time_surface,Time Surface,1,0.197492,0.939315,0.143975,0.955333,0.955333,
nmnist,time_surface,Time Surface,2,0.078807,0.974833,0.086025,0.971667,0.971667,
nmnist,time_surface,Time Surface,3,0.053755,0.983463,0.077337,0.974667,0.974667,
nmnist,time_surface,Time Surface,4,0.041,0.986704,0.082393,0.974167,0.974667,
nmnist,time_surface,Time Surface,5,0.033022,0.989185,0.060937,0.982667,0.982667,
nmnist,time_surface,Time Surface,6,0.025285,0.99213,0.053648,0.984667,0.984667,
nmnist,time_surface,Time Surface,7,0.022859,0.992667,0.057407,0.982667,0.984667,
nmnist,time_surface,Time Surface,8,0.017723,0.994537,0.05596,0.984333,0.984667,
nmnist,time_surface,Time Surface,9,0.016684,0.995074,0.081109,0.978667,0.984667,
nmnist,time_surface,Time Surface,10,0.015609,0.995204,0.051275,0.985333,0.985333,
nmnist,time_surface,Time Surface,11,0.014087,0.995704,0.062323,0.984,0.985333,
nmnist,time_surface,Time Surface,12,0.012434,0.996556,0.066176,0.980833,0.985333,
nmnist,time_surface,Time Surface,13,0.012319,0.996074,0.052831,0.986,0.986,
nmnist,time_surface,Time Surface,14,0.010879,0.996741,0.073404,0.9805,0.986,
nmnist,time_surface,Time Surface,15,0.011483,0.996889,0.052076,0.987667,0.987667,
nmnist,time_surface,Time Surface,16,0.010095,0.996852,0.065728,0.983333,0.987667,
nmnist,time_surface,Time Surface,17,0.00942,0.997278,0.059255,0.985333,0.987667,
nmnist,time_surface,Time Surface,18,0.009726,0.997333,0.052959,0.986167,0.987667,
nmnist,time_surface,Time Surface,19,0.008846,0.997389,0.050505,0.986,0.987667,
nmnist,time_surface,Time Surface,20,0.007478,0.997963,0.058152,0.987333,0.987667,
nmnist,time_surface,Time Surface,21,0.010192,0.997093,0.061496,0.982667,0.987667,
nmnist,time_surface,Time Surface,22,0.00684,0.998185,0.044554,0.988333,0.988333,
nmnist,time_surface,Time Surface,23,0.008004,0.997759,0.045845,0.987833,0.988333,
nmnist,time_surface,Time Surface,24,0.007166,0.997889,0.055947,0.985833,0.988333,
nmnist,time_surface,Time Surface,25,0.006286,0.998296,0.067446,0.983667,0.988333,
nmnist,time_surface,Time Surface,26,0.005199,0.998519,0.054713,0.989833,0.989833,
nmnist,time_surface,Time Surface,27,0.006416,0.998148,0.048616,0.988667,0.989833,
nmnist,time_surface,Time Surface,28,0.005455,0.998426,0.059948,0.985833,0.989833,
nmnist,time_surface,Time Surface,29,0.005899,0.99837,0.051383,0.987167,0.989833,
nmnist,time_surface,Time Surface,30,0.005758,0.998204,0.048213,0.988,0.989833,
nmnist,time_surface,Time Surface,31,0.004545,0.998833,0.050507,0.988167,0.989833,
nmnist,time_surface,Time Surface,32,0.004701,0.998574,0.054657,0.988333,0.989833,
nmnist,time_surface,Time Surface,33,0.003863,0.998944,0.046338,0.9895,0.989833,
nmnist,time_surface,Time Surface,34,0.003896,0.999037,0.048785,0.9885,0.989833,
nmnist,time_surface,Time Surface,35,0.005393,0.998574,0.061494,0.9855,0.989833,
nmnist,time_surface,Time Surface,36,0.003087,0.999296,0.052057,0.989333,0.989833,
nmnist,voxel_grid,Voxel Grid,1,0.128228,0.961259,0.091839,0.970667,0.970667,
nmnist,voxel_grid,Voxel Grid,2,0.053425,0.983796,0.067513,0.9805,0.9805,
nmnist,voxel_grid,Voxel Grid,3,0.038988,0.988,0.044866,0.985333,0.985333,
nmnist,voxel_grid,Voxel Grid,4,0.030744,0.99087,0.053418,0.983833,0.985333,
nmnist,voxel_grid,Voxel Grid,5,0.027968,0.991704,0.040664,0.988,0.988,
nmnist,voxel_grid,Voxel Grid,6,0.021984,0.9935,0.042216,0.987167,0.988,
nmnist,voxel_grid,Voxel Grid,7,0.020696,0.993963,0.038193,0.989,0.989,
nmnist,voxel_grid,Voxel Grid,8,0.01957,0.994241,0.038912,0.988,0.989,
nmnist,voxel_grid,Voxel Grid,9,0.016875,0.994852,0.044441,0.988167,0.989,
nmnist,voxel_grid,Voxel Grid,10,0.014202,0.996,0.046178,0.986667,0.989,
nmnist,voxel_grid,Voxel Grid,11,0.014723,0.995648,0.032721,0.99,0.99,
nmnist,voxel_grid,Voxel Grid,12,0.012372,0.996315,0.032674,0.992,0.992,
nmnist,voxel_grid,Voxel Grid,13,0.012225,0.996667,0.045671,0.9885,0.992,
nmnist,voxel_grid,Voxel Grid,14,0.011965,0.996444,0.050551,0.986333,0.992,
nmnist,voxel_grid,Voxel Grid,15,0.009933,0.997019,0.04319,0.989667,0.992,
nmnist,voxel_grid,Voxel Grid,16,0.01108,0.996944,0.042818,0.9875,0.992,
nmnist,voxel_grid,Voxel Grid,17,0.008957,0.997537,0.043705,0.989333,0.992,
nmnist,voxel_grid,Voxel Grid,18,0.008015,0.997593,0.032081,0.991833,0.992,
nmnist,voxel_grid,Voxel Grid,19,0.008693,0.997463,0.036604,0.9915,0.992,
nmnist,voxel_grid,Voxel Grid,20,0.007004,0.997944,0.05332,0.987333,0.992,
nmnist,voxel_grid,Voxel Grid,21,0.007779,0.997815,0.040282,0.990167,0.992,
nmnist,voxel_grid,Voxel Grid,22,0.007533,0.997852,0.04175,0.988833,0.992,
ncaltech101,event_frame,Event Frame,1,3.490819,0.269697,3.178381,0.308465,0.308465,
ncaltech101,event_frame,Event Frame,2,2.869883,0.351356,3.009194,0.30703,0.308465,
ncaltech101,event_frame,Event Frame,3,2.473056,0.420096,2.611558,0.393113,0.393113,
ncaltech101,event_frame,Event Frame,4,2.082158,0.504625,2.541795,0.403156,0.403156,
ncaltech101,event_frame,Event Frame,5,1.682985,0.602392,2.452429,0.403156,0.403156,
ncaltech101,event_frame,Event Frame,6,1.214618,0.742584,2.491329,0.38594,0.403156,
ncaltech101,event_frame,Event Frame,7,0.734921,0.885486,2.466616,0.446198,0.446198,
ncaltech101,event_frame,Event Frame,8,0.36253,0.970654,2.44777,0.440459,0.446198,
ncaltech101,event_frame,Event Frame,9,0.153952,0.996651,2.577152,0.428981,0.446198,
ncaltech101,event_frame,Event Frame,10,0.072321,0.999362,2.332557,0.457676,0.457676,
ncaltech101,event_frame,Event Frame,11,0.038764,0.999681,2.332246,0.474892,0.474892,
ncaltech101,event_frame,Event Frame,12,0.024792,1.0,2.340516,0.467719,0.474892,
ncaltech101,event_frame,Event Frame,13,0.018473,1.0,2.312478,0.483501,0.483501,
ncaltech101,event_frame,Event Frame,14,0.016974,0.999681,2.32292,0.476327,0.483501,
ncaltech101,event_frame,Event Frame,15,0.013459,0.999841,2.353865,0.456241,0.483501,
ncaltech101,event_frame,Event Frame,16,0.010265,1.0,2.350218,0.479197,0.483501,
ncaltech101,event_frame,Event Frame,17,0.008429,1.0,2.338716,0.473458,0.483501,
ncaltech101,event_frame,Event Frame,18,0.007028,1.0,2.38445,0.45911,0.483501,
ncaltech101,event_frame,Event Frame,19,0.006107,1.0,2.361029,0.477762,0.483501,
ncaltech101,event_frame,Event Frame,20,0.005216,1.0,2.351448,0.472023,0.483501,
ncaltech101,event_frame,Event Frame,21,0.004549,1.0,2.409394,0.463415,0.483501,
ncaltech101,event_frame,Event Frame,22,0.00391,1.0,2.354077,0.472023,0.483501,
ncaltech101,event_frame,Event Frame,23,0.003619,1.0,2.357439,0.473458,0.483501,
ncaltech101,binary_event_image,Binary Event Image,1,3.392266,0.274163,3.170364,0.298422,0.298422,
ncaltech101,binary_event_image,Binary Event Image,2,2.684775,0.385805,2.73446,0.361549,0.361549,
ncaltech101,binary_event_image,Binary Event Image,3,2.244568,0.472089,2.592781,0.380201,0.380201,
ncaltech101,binary_event_image,Binary Event Image,4,1.8,0.576077,3.142505,0.332855,0.380201,
ncaltech101,binary_event_image,Binary Event Image,5,1.265779,0.728708,2.840762,0.377331,0.380201,
ncaltech101,binary_event_image,Binary Event Image,6,0.695849,0.897448,2.812728,0.38307,0.38307,
ncaltech101,binary_event_image,Binary Event Image,7,0.299806,0.984689,2.601508,0.408895,0.408895,
ncaltech101,binary_event_image,Binary Event Image,8,0.108013,0.999203,2.475296,0.431851,0.431851,
ncaltech101,binary_event_image,Binary Event Image,9,0.049798,1.0,2.382871,0.440459,0.440459,
ncaltech101,binary_event_image,Binary Event Image,10,0.029828,1.0,2.380244,0.43759,0.440459,
ncaltech101,binary_event_image,Binary Event Image,11,0.02116,1.0,2.395269,0.440459,0.440459,
ncaltech101,binary_event_image,Binary Event Image,12,0.014988,1.0,2.390577,0.451937,0.451937,
ncaltech101,binary_event_image,Binary Event Image,13,0.012178,1.0,2.382766,0.447633,0.451937,
ncaltech101,binary_event_image,Binary Event Image,14,0.009763,1.0,2.42193,0.43759,0.451937,
ncaltech101,binary_event_image,Binary Event Image,15,0.008644,1.0,2.421863,0.440459,0.451937,
ncaltech101,binary_event_image,Binary Event Image,16,0.007048,1.0,2.443664,0.444763,0.451937,
ncaltech101,binary_event_image,Binary Event Image,17,0.006102,1.0,2.416686,0.444763,0.451937,
ncaltech101,binary_event_image,Binary Event Image,18,0.005334,1.0,2.419784,0.444763,0.451937,
ncaltech101,binary_event_image,Binary Event Image,19,0.004623,1.0,2.411033,0.444763,0.451937,
ncaltech101,binary_event_image,Binary Event Image,20,0.004076,1.0,2.409334,0.457676,0.457676,
ncaltech101,binary_event_image,Binary Event Image,21,0.003538,1.0,2.421202,0.444763,0.457676,
ncaltech101,binary_event_image,Binary Event Image,22,0.003147,1.0,2.422129,0.447633,0.457676,
ncaltech101,binary_event_image,Binary Event Image,23,0.002833,1.0,2.420831,0.446198,0.457676,
ncaltech101,binary_event_image,Binary Event Image,24,0.002645,1.0,2.427916,0.453372,0.457676,
ncaltech101,binary_event_image,Binary Event Image,25,0.002477,1.0,2.441618,0.447633,0.457676,
ncaltech101,binary_event_image,Binary Event Image,26,0.002169,1.0,2.481008,0.433286,0.457676,
ncaltech101,binary_event_image,Binary Event Image,27,0.002148,1.0,2.52134,0.430416,0.457676,
ncaltech101,binary_event_image,Binary Event Image,28,0.001818,1.0,2.444405,0.43472,0.457676,
ncaltech101,binary_event_image,Binary Event Image,29,0.001777,1.0,2.458891,0.43759,0.457676,
ncaltech101,binary_event_image,Binary Event Image,30,0.014179,0.998246,7.05496,0.124821,0.457676,
ncaltech101,timestamp_image,Timestamp Image,1,3.373438,0.280383,3.024251,0.322812,0.322812,
ncaltech101,timestamp_image,Timestamp Image,2,2.659666,0.387719,2.80904,0.342898,0.342898,
ncaltech101,timestamp_image,Timestamp Image,3,2.195041,0.484689,2.377767,0.43472,0.43472,
ncaltech101,timestamp_image,Timestamp Image,4,1.746081,0.593301,2.397466,0.43759,0.43759,
ncaltech101,timestamp_image,Timestamp Image,5,1.245234,0.729187,2.467037,0.446198,0.446198,
ncaltech101,timestamp_image,Timestamp Image,6,0.704213,0.891069,2.544,0.428981,0.446198,
ncaltech101,timestamp_image,Timestamp Image,7,0.306467,0.982456,2.469785,0.446198,0.446198,
ncaltech101,timestamp_image,Timestamp Image,8,0.113732,0.998724,2.172047,0.482066,0.482066,
ncaltech101,timestamp_image,Timestamp Image,9,0.051806,1.0,2.13575,0.493544,0.493544,
ncaltech101,timestamp_image,Timestamp Image,10,0.030557,1.0,2.153044,0.492109,0.493544,
ncaltech101,timestamp_image,Timestamp Image,11,0.022635,0.999841,2.169295,0.492109,0.493544,
ncaltech101,timestamp_image,Timestamp Image,12,0.015559,1.0,2.150211,0.493544,0.493544,
ncaltech101,timestamp_image,Timestamp Image,13,0.01222,1.0,2.145345,0.500717,0.500717,
ncaltech101,timestamp_image,Timestamp Image,14,0.009828,1.0,2.158591,0.490674,0.500717,
ncaltech101,timestamp_image,Timestamp Image,15,0.008329,1.0,2.172705,0.494978,0.500717,
ncaltech101,timestamp_image,Timestamp Image,16,0.007006,1.0,2.183558,0.487805,0.500717,
ncaltech101,timestamp_image,Timestamp Image,17,0.005971,1.0,2.160703,0.496413,0.500717,
ncaltech101,timestamp_image,Timestamp Image,18,0.005124,1.0,2.182008,0.482066,0.500717,
ncaltech101,timestamp_image,Timestamp Image,19,0.004537,1.0,2.211468,0.494978,0.500717,
ncaltech101,timestamp_image,Timestamp Image,20,0.004009,1.0,2.17387,0.492109,0.500717,
ncaltech101,timestamp_image,Timestamp Image,21,0.00351,1.0,2.194954,0.483501,0.500717,
ncaltech101,timestamp_image,Timestamp Image,22,0.003115,1.0,2.185647,0.496413,0.500717,
ncaltech101,timestamp_image,Timestamp Image,23,0.002802,1.0,2.206447,0.492109,0.500717,
ncaltech101,time_surface,Time Surface,1,3.386133,0.278309,3.006639,0.321377,0.321377,
ncaltech101,time_surface,Time Surface,2,2.677424,0.382935,2.773156,0.345768,0.345768,
ncaltech101,time_surface,Time Surface,3,2.203218,0.481818,2.506435,0.394548,0.394548,
ncaltech101,time_surface,Time Surface,4,1.748417,0.594737,2.695316,0.407461,0.407461,
ncaltech101,time_surface,Time Surface,5,1.237557,0.733493,2.537352,0.436155,0.436155,
ncaltech101,time_surface,Time Surface,6,0.680946,0.902233,2.483798,0.431851,0.436155,
ncaltech101,time_surface,Time Surface,7,0.285458,0.985965,2.375811,0.440459,0.440459,
ncaltech101,time_surface,Time Surface,8,0.104418,0.999203,2.261952,0.472023,0.472023,
ncaltech101,time_surface,Time Surface,9,0.049032,0.999841,2.138969,0.48637,0.48637,
ncaltech101,time_surface,Time Surface,10,0.029482,1.0,2.173334,0.477762,0.48637,
ncaltech101,time_surface,Time Surface,11,0.021813,0.999841,2.15357,0.472023,0.48637,
ncaltech101,time_surface,Time Surface,12,0.015006,1.0,2.209451,0.476327,0.48637,
ncaltech101,time_surface,Time Surface,13,0.012024,1.0,2.157967,0.492109,0.492109,
ncaltech101,time_surface,Time Surface,14,0.009473,1.0,2.196529,0.482066,0.492109,
ncaltech101,time_surface,Time Surface,15,0.008185,1.0,2.18596,0.48637,0.492109,
ncaltech101,time_surface,Time Surface,16,0.006873,1.0,2.207196,0.472023,0.492109,
ncaltech101,time_surface,Time Surface,17,0.006021,1.0,2.162162,0.48637,0.492109,
ncaltech101,time_surface,Time Surface,18,0.005158,1.0,2.206657,0.477762,0.492109,
ncaltech101,time_surface,Time Surface,19,0.004454,1.0,2.192875,0.484935,0.492109,
ncaltech101,time_surface,Time Surface,20,0.004073,1.0,2.202822,0.48924,0.492109,
ncaltech101,time_surface,Time Surface,21,0.003506,1.0,2.2111,0.484935,0.492109,
ncaltech101,time_surface,Time Surface,22,0.003056,1.0,2.205742,0.484935,0.492109,
ncaltech101,time_surface,Time Surface,23,0.002766,1.0,2.209701,0.487805,0.492109,
ncaltech101,voxel_grid,Voxel Grid,1,3.465839,0.269856,3.11008,0.289813,0.289813,
ncaltech101,voxel_grid,Voxel Grid,2,2.779918,0.367305,2.703747,0.374462,0.374462,
ncaltech101,voxel_grid,Voxel Grid,3,2.366102,0.44673,2.637274,0.381636,0.381636,
ncaltech101,voxel_grid,Voxel Grid,4,2.000317,0.52488,2.45627,0.433286,0.433286,
ncaltech101,voxel_grid,Voxel Grid,5,1.59041,0.627911,2.459886,0.413199,0.433286,
ncaltech101,voxel_grid,Voxel Grid,6,1.144593,0.76252,2.279399,0.456241,0.456241,
ncaltech101,voxel_grid,Voxel Grid,7,0.679908,0.891866,2.314043,0.463415,0.463415,
ncaltech101,voxel_grid,Voxel Grid,8,0.329768,0.971451,2.414967,0.444763,0.463415,
ncaltech101,voxel_grid,Voxel Grid,9,0.140035,0.995853,2.242872,0.460545,0.463415,
ncaltech101,voxel_grid,Voxel Grid,10,0.063966,0.999043,2.175826,0.493544,0.493544,
ncaltech101,voxel_grid,Voxel Grid,11,0.036106,0.999362,2.154212,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,12,0.022611,1.0,2.133346,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,13,0.016866,1.0,2.132358,0.500717,0.500717,
ncaltech101,voxel_grid,Voxel Grid,14,0.013543,1.0,2.180846,0.492109,0.500717,
ncaltech101,voxel_grid,Voxel Grid,15,0.011181,1.0,2.161129,0.499283,0.500717,
ncaltech101,voxel_grid,Voxel Grid,16,0.008651,1.0,2.154298,0.494978,0.500717,
ncaltech101,voxel_grid,Voxel Grid,17,0.007441,1.0,2.171021,0.48637,0.500717,
ncaltech101,voxel_grid,Voxel Grid,18,0.006747,1.0,2.173737,0.487805,0.500717,
ncaltech101,voxel_grid,Voxel Grid,19,0.005442,1.0,2.176559,0.499283,0.500717,
ncaltech101,voxel_grid,Voxel Grid,20,0.004933,1.0,2.203074,0.494978,0.500717,
ncaltech101,voxel_grid,Voxel Grid,21,0.004439,1.0,2.183502,0.48637,0.500717,
